gx,gy,gz
2.87,2.362,-1.015
2.66,2.572,-1.295
2.572,3.027,-1.47
2.608,3.553,-1.452
1.523,3.29,-1.225
0.945,2.415,-0.63
0.63,1.295,0.21
-0.14,0.21,0.665
-1.155,-0.577,0.525
-1.592,-1.12,0.385
-1.347,-1.523,0.35
-0.875,-1.645,0.42
-0.683,-1.61,0.437
-0.665,-1.575,0.298
-0.595,-1.505,0.175
-0.333,-1.19,0.018
0.018,-0.28,-0.298
0.42,-0.105,-0.245
0.403,-0.192,-0.245
0.175,-0.472,-0.018
-0.892,-2.082,1.138
-2.065,-2.608,1.663
-2.03,-2.31,1.61
-1.768,-1.908,1.173
-0.91,-0.875,0.647
0.087,-0.07,0.018
0.63,0.385,-0.42
0.472,-0.192,-0.018
-0.14,-1.12,0.735
-1.278,-2.31,1.085
-1.295,-2.03,0.788
-0.77,-1.365,0.472
-0.245,-0.805,0.437
-0.14,-0.613,0.63
-0.157,-0.49,0.63
-0.192,-0.385,0.403
-0.315,-0.28,0.28
-0.35,0.087,0.087
-0.018,0.77,-0.315
0.805,1.487,-0.7
1.697,2.223,-0.962
2.205,3.063,-1.715
2.905,4.025,-2.118
3.325,4.62,-2.345
3.588,5.355,-2.537
3.517,5.88,-2.625
3.203,6.195,-2.8
3.185,6.86,-3.273
2.975,7.245,-3.553
2.188,6.983,-3.378
0.98,6.02,-2.275
-0.035,4.532,-0.945
-1.173,3.115,0.0
-1.82,2.065,0.472
-2.362,1.295,0.647
-3.027,1.26,0.735
-2.765,0.945,0.788
-2.328,0.665,0.665
-2.047,0.315,0.543
-1.942,0.087,0.42
-1.225,-0.053,0.123
-0.157,0.07,-0.21
0.665,0.228,-0.42
1.085,0.333,-0.472
1.207,0.507,-0.577
1.12,0.577,-0.735
0.858,0.543,-0.63
0.315,-0.07,-0.28
0.0,-0.333,-0.053
-0.28,-0.507,0.14
-0.315,-0.665,0.21
-0.245,-0.735,0.192
-0.175,-0.77,0.157
-0.105,-0.665,0.105
-0.035,-0.595,0.087
-0.123,-0.665,0.123
-0.21,-0.595,0.157
-0.385,-0.507,0.228
-0.49,-0.56,0.175
-0.245,-0.403,-0.105
0.42,0.56,-0.35
0.437,0.928,-0.368
0.192,1.033,-0.28
-0.035,0.98,-0.175
-0.28,0.805,-0.018
-0.472,0.543,0.035
-0.525,0.472,-0.053
-0.123,0.647,-0.157
0.525,0.822,-0.157
0.788,0.7,-0.053
0.613,0.35,0.123
0.28,0.105,0.087
0.123,0.262,-0.105
0.613,0.403,-0.123
0.507,0.507,-0.018
0.07,0.175,0.28
-0.49,-0.315,0.403
-0.928,-0.718,0.472
-1.067,-1.015,0.507
-0.998,-1.225,0.665
-0.892,-1.523,1.05
-1.19,-1.803,1.4
-1.242,-1.768,1.347
-0.822,-1.487,1.05
-0.49,-1.19,0.875
0.087,-0.472,0.403
0.262,-0.14,0.14
0.507,0.14,-0.157
0.858,0.525,-0.49
1.173,0.928,-0.63
1.312,1.05,-0.49
1.19,0.858,-0.175
0.665,0.525,-0.035
0.105,0.087,0.053
-0.192,-0.157,0.21
-0.105,-0.262,0.385
-0.053,-0.385,0.49
-0.192,-0.543,0.84
-0.437,-0.858,0.735
-0.298,-0.63,0.525
0.28,-0.245,0.28
0.788,0.14,0.087
0.998,0.437,0.035
1.015,0.525,-0.157
0.805,0.525,-0.42
0.613,0.63,-0.63
0.875,1.033,-0.7
1.452,1.26,-0.333
1.855,1.312,-0.123
1.768,1.278,-0.368
1.452,0.455,-0.858
0.98,0.368,-0.805
0.595,0.525,-0.822
0.613,0.577,-0.665
0.647,0.368,-0.368
0.368,0.35,-0.228
0.123,0.49,-0.298
-0.018,0.455,-0.49
-0.053,0.49,-0.507
0.105,0.368,0.0
0.105,0.14,0.42
-0.228,-0.123,0.455
-0.507,-0.385,0.35
-0.14,-0.35,0.14
0.333,-0.175,0.245
0.56,-0.035,0.21
0.42,-0.035,0.07
0.42,-0.123,0.105
0.472,-0.07,0.262
0.262,-0.035,0.315
0.175,0.123,0.245
0.245,0.472,-0.053
0.35,0.858,-0.333
0.455,1.067,-0.333
0.472,0.945,0.0
0.437,0.718,-0.21
0.49,0.385,-0.333
0.683,0.49,-0.35
1.173,0.752,-0.35
1.505,0.647,-0.087
0.683,0.77,-0.245
0.35,0.595,-0.21
0.507,0.28,-0.087
0.665,0.385,-0.105
0.683,0.507,-0.192
0.543,0.472,-0.385
0.385,0.298,-0.595
0.245,0.123,-0.613
-4.392,-0.105,-0.07
0.018,-0.123,0.087
0.192,-0.175,0.157
0.245,-0.105,0.053
0.315,0.192,-0.087
0.228,0.455,-0.298
0.087,0.228,-0.21
0.175,-0.087,0.192
0.455,0.175,0.385
0.665,0.718,0.192
0.928,1.435,-0.175
1.628,2.24,-0.7
2.257,3.255,-1.225
2.24,5.198,-1.995
2.467,7.385,-3.08
4.305,11.095,-5.093
7.193,15.908,-8.015
10.693,20.755,-11.148
12.215,25.183,-13.86
10.448,28.087,-15.96
8.943,31.255,-17.64
9.047,32.987,-19.442
9.555,26.267,-17.132
8.278,21.14,-14.472
8.102,18.392,-8.505
6.773,12.985,8.557
-3.658,2.118,13.37
-12.53,1.418,11.918
-16.712,4.602,8.435
-13.265,9.783,7.193
-6.09,15.068,8.208
0.123,20.615,9.765
4.9,26.285,8.767
7.892,30.257,7.245
9.485,31.587,6.668
9.818,31.36,7.665
9.293,30.187,9.538
8.33,27.247,10.57
6.948,16.87,10.448
1.33,11.988,11.69
-3.29,7.665,13.458
-9.783,3.64,15.313
-16.853,-0.123,16.817
-22.75,-2.94,17.972
-27.37,-4.76,19.093
-30.94,-5.67,20.16
-33.74,-5.39,20.335
-34.002,-3.622,17.692
-35.123,-0.368,13.405
-35.0,2.73,9.922
-33.67,3.483,8.557
-28.333,2.082,8.102
-26.075,2.398,7.0
-24.01,3.395,4.952
-22.4,3.973,2.852
-21.612,3.412,0.805
-21.263,2.537,-0.63
-20.265,2.065,-0.455
-17.605,2.118,0.21
-14.193,2.537,0.84
-10.028,3.15,1.732
-7.07,3.045,2.783
-5.128,2.328,3.727
-3.5,1.803,2.957
-18.427,4.585,5.39
-47.39,-33.81,8.102
-23.485,16.03,-6.44
0.0,23.24,0.403
6.457,1.592,13.878
-0.07,-5.95,24.657
1.452,-14.682,26.862
6.037,-20.23,30.975
7.088,-20.825,30.31
15.453,-23.153,28.77
59.57,-46.095,14.962
81.533,-75.95,-11.778
38.868,-72.503,-34.51
-0.613,-32.13,-13.09
-16.38,8.663,-46.813
-43.382,49.525,-68.128
-52.342,67.55,-71.96
-42.0,54.495,-63.717
-23.782,30.45,-52.553
-5.915,11.462,-39.498
9.573,-0.35,-29.505
21.595,-9.555,-27.247
29.173,-17.255,-32.97
32.182,-21.892,-39.287
30.083,-18.2,-43.557
13.51,5.512,-60.708
2.572,20.667,-69.842
-8.645,37.66,-78.4
-21.577,54.338,-84.385
-33.845,68.46,-87.412
-45.01,77.245,-86.607
-54.057,77.403,-82.827
-60.55,70.175,-79.52
-64.155,57.19,-77.997
-67.567,42.368,-76.563
-71.015,27.475,-73.098
-72.783,10.395,-68.6
-69.825,-7.875,-53.498
-53.235,-29.925,-45.745
-49.858,-31.062,-41.143
-50.452,-29.75,-37.853
-53.603,-30.555,-34.037
-56.91,-33.635,-29.505
-60.06,-36.085,-27.23
-60.62,-38.518,-25.112
-55.265,-42.945,-21.805
-44.03,-48.755,-17.343
-30.712,-53.917,-11.655
-11.55,-53.27,-3.08
10.483,-45.535,9.52
27.685,-40.688,24.29
23.503,-39.077,23.222
17.202,-35.945,20.073
13.842,-35.63,17.15
14.613,-38.22,16.747
17.255,-41.528,17.448
19.478,-43.715,17.325
19.04,-44.38,16.205
16.538,-44.065,16.065
13.948,-43.803,17.097
10.587,-43.592,16.03
6.965,-46.025,14.49
4.287,-50.627,14.595
-5.145,-50.715,8.645
-6.405,-43.452,7.787
-6.037,-32.27,9.94
-77.683,58.853,6.387
-83.23,72.677,-11.182
-74.06,41.825,-21.228
-71.225,20.423,-34.353
-63.228,14.91,-32.603
-54.145,20.3,-19.548
-48.825,26.792,-10.395
-48.79,31.028,-12.18
-51.853,32.41,-16.608
-55.825,32.585,-20.108
-60.252,34.825,-21.49
-33.268,63.053,-17.78
-0.28,82.145,6.895
-2.608,75.933,1.33
-1.908,63.595,-10.5
0.28,26.495,-2.03
-0.455,9.398,-21.56
-0.858,3.973,-31.255
-0.892,7.07,-27.562
-0.368,7.613,-21.052
-0.403,7.035,-12.635
-0.035,6.65,-7.892
-0.175,5.32,-2.818
-0.962,3.85,-3.237
0.157,3.308,-0.262
0.035,3.273,2.94
0.105,2.31,5.53
0.262,1.785,6.807
0.053,1.505,8.68
0.053,2.713,11.9
-0.018,3.15,12.793
0.245,1.278,12.302
0.262,0.507,13.142
0.14,-1.015,12.863
0.087,-2.45,12.757
0.21,-3.588,10.868
0.175,-2.993,10.238
0.192,-2.188,10.43
0.315,-1.697,11.743
0.577,-0.472,14.35
0.752,2.17,16.94
2.03,5.512,16.993
7.84,12.163,18.042
27.212,37.975,19.355
24.097,52.202,24.972
20.843,-8.47,25.952
23.135,-9.555,22.208
23.8,15.785,13.895
22.435,5.653,5.548
20.317,-4.883,-1.225
17.308,2.94,-5.198
13.615,-3.973,-4.043
10.115,2.45,-2.852
6.983,-1.365,-0.98
4.008,0.245,-0.35
1.592,-0.105,0.42
-0.298,-0.105,1.067
-1.697,-0.175,1.312
-2.135,-0.105,1.067
-1.558,-0.087,0.543
3.938,-0.087,-0.157
0.91,-0.087,-0.315
0.752,-0.07,-0.298
0.507,-0.07,-0.192
0.333,-0.087,-0.157
0.123,-0.087,-0.087
0.0,-0.07,-0.018
-0.035,-0.087,-0.035
0.07,-0.087,-0.053
0.123,-0.087,-0.07
0.087,-0.087,-0.07
0.123,-0.087,-0.07
0.157,-0.087,-0.07
0.087,-0.087,-0.07
0.035,-0.105,-0.053
0.035,-0.105,-0.053
0.035,-0.105,-0.035
0.035,-0.105,-0.035
0.053,-0.087,-0.053
0.035,-0.087,-0.053
0.035,-0.087,-0.035
0.018,-0.105,-0.035
0.018,-0.087,-0.035
0.035,-0.087,-0.035
0.0,-0.087,0.0
0.0,-0.07,-0.035
0.053,-0.087,-0.035
-0.035,-0.105,0.0
-0.018,-0.105,-0.018
0.07,-0.105,-0.035
0.035,-0.087,-0.035
-0.07,-0.105,0.018
-0.053,-0.087,0.0
0.07,-0.105,-0.053
0.07,-0.087,-0.053
-0.053,-0.105,-0.018
-0.105,-0.087,0.018
0.053,-0.087,-0.035
0.105,-0.087,0.0
-0.123,-0.087,0.018
0.035,-0.07,-0.018
0.123,-0.07,-0.053
-0.035,-0.087,0.0
-0.157,-0.105,0.018
0.018,-0.105,-0.035
0.105,-0.105,-0.07
-0.018,-0.087,-0.018
-0.175,-0.087,0.018
-0.035,-0.087,0.0
0.123,-0.087,-0.053
0.0,-0.087,-0.018
-0.07,-0.087,-0.053
0.087,-0.105,-0.07
0.0,-0.105,-0.018
-0.157,-0.105,0.018
-0.07,-0.087,0.0
0.07,-0.07,-0.035
-0.018,-0.07,-0.018
-0.14,-0.105,0.018
-0.087,-0.087,0.018
0.087,-0.087,-0.035
0.035,-0.07,-0.018
-0.157,-0.105,0.0
-0.123,-0.105,-0.035
0.053,-0.087,-0.035
-0.105,-0.07,0.018
-0.157,-0.087,0.018
0.018,-0.07,-0.018
0.035,-0.07,-0.018
-0.123,-0.087,0.018
-0.157,-0.087,0.053
0.0,-0.087,-0.018
0.053,-0.07,-0.035
-0.087,-0.07,0.018
-0.123,-0.105,0.018
0.018,-0.07,-0.018
0.07,-0.07,0.0
-0.157,-0.105,0.035
-0.035,-0.087,0.018
0.07,-0.07,-0.035
-0.053,-0.07,0.0
-0.157,-0.087,0.018
-0.053,-0.07,0.0
0.053,-0.07,-0.035
-0.035,-0.105,-0.018
-0.14,-0.087,0.035
-0.07,-0.087,0.0
0.035,-0.07,-0.018
-0.035,-0.07,-0.018
-0.053,-0.105,-0.018
0.035,-0.105,-0.035
-0.035,-0.087,-0.018
-0.105,-0.087,0.018
-0.105,-0.105,0.018
-0.018,-0.07,0.0
-0.018,-0.105,-0.018
-0.035,-0.105,0.0
-0.07,-0.07,0.018
-0.018,-0.087,-0.018
0.0,-0.087,-0.018
-0.035,-0.087,-0.018
-0.053,-0.105,0.018
-0.053,-0.087,-0.018
-0.035,-0.105,0.0
-0.035,-0.087,0.0
-0.035,-0.07,-0.018
-0.018,-0.07,-0.035
-0.035,-0.087,0.0
-0.018,-0.087,0.0
-0.018,-0.087,0.0
-0.035,-0.087,0.0
-0.053,-0.07,0.0
-0.018,-0.105,0.0
0.0,-0.105,0.0
-0.053,-0.087,0.0
-0.035,-0.105,0.0
-0.035,-0.087,0.0
-0.053,-0.105,0.018
-0.018,-0.087,0.0
-0.018,-0.07,0.0
-0.053,-0.087,0.0
-0.053,-0.087,-0.018
-0.018,-0.087,0.0
-0.018,-0.07,0.0
-0.087,-0.07,0.0
-0.07,-0.105,0.0
-0.053,-0.105,0.0
0.0,-0.087,0.0
-0.087,-0.105,0.018
-0.053,-0.087,0.0
0.0,-0.087,0.0
-0.018,-0.087,-0.018
-0.105,-0.087,0.0
-0.07,-0.105,-0.018
0.035,-0.087,-0.018
-0.018,-0.087,-0.018
-0.123,-0.105,0.0
-0.105,-0.105,0.018
0.035,-0.087,-0.035
0.018,-0.07,4.463
-0.087,-0.105,0.018
0.018,-0.087,-0.018
0.053,-0.087,-0.035
-0.105,-0.087,0.0
-0.14,-0.105,0.018
0.0,-0.087,-0.018
0.07,-0.087,-0.035
-0.087,-0.07,0.0
-0.157,-0.087,0.035
-0.018,-0.07,-0.018
0.087,-0.07,-0.053
-0.053,-0.087,-0.018
-0.21,-0.105,0.018
0.123,-0.07,-0.018
0.018,-0.07,-0.018
-0.175,-0.087,0.035
-0.105,-0.087,0.018
0.087,-0.053,-0.035
0.035,-0.07,-0.035
-0.105,-0.105,0.018
-0.123,-0.087,0.035
0.053,-0.087,-0.018
0.035,-0.087,-0.018
-0.105,-0.07,0.018
-0.123,-0.07,0.035
0.087,-0.07,-0.018
-0.07,-0.087,0.018
-0.123,-0.123,0.0
-0.018,-0.105,0.0
0.07,-0.087,-0.018
-0.035,-0.087,0.0
-0.123,-0.07,0.018
-0.053,-0.07,0.0
0.035,-0.07,0.0
0.0,-0.07,-0.018
-0.087,-0.087,0.0
